CustomerID,Recency_Days,Frequency,Monetary_NetSales,GrossSales,ReturnsValue,ReturnRate,CohortMonth,R_Score,F_Score,M_Score,RFM_Score_String,RFM_Segment
0.0869,2455681.6,2,6951890544.6,6951890544.6,0,0,-3902-03,1,2,5,125,Hibernating
0.0174,2455449.1,5,6380002599.85,6380002599.85,0,0,-3046-10,1,4,5,145,At-Risk
0.0554,2454844.9,3,5155542652.19,5155542652.19,0,0,-3853-06,1,3,5,135,At-Risk
0.0542,2455252.2,5,3129779518.85,3129779518.85,0,0,-4036-02,1,4,5,145,At-Risk
0.2488,2454090.9,2,2792090922.13,2792090922.13,0,0,-4378-06,1,2,5,125,Hibernating
0.01,2455735.2,6,2753687559.72,2753687559.72,0,0,-3265-03,1,4,5,145,At-Risk
0.1663,2337277.4,1,1951444598.55,1951444598.55,0,0,-4388-09,1,1,5,115,Lost
0.2279,2363558.2,1,1500677823.33,1500677823.33,0,0,-4460-09,1,1,5,115,Lost
0.0288,2455581.9,7,1080056932.93,1080056932.93,0,0,-4175-11,1,4,5,145,At-Risk
0.0383,2454480.6,4,798680581.88,798680581.88,0,0,-4310-10,1,3,5,135,At-Risk
0.0212,2454520.6,3,639367351.4,639367351.4,0,0,-4232-09,1,3,5,135,At-Risk
0.1621,2388403,1,618873298.4,618873298.4,0,0,-4528-09,1,1,5,115,Lost
0.5164,2411371.2,1,495270544,495270544,0,0,-4591-10,1,1,5,115,Lost
0.1234,2390740.7,1,459466425.6,459466425.6,0,0,-4534-04,1,1,5,115,Lost
0.0302,2339167.6,1,398928775.38,398928775.38,0,0,-4393-07,1,1,5,115,Lost
0.05,2454267.2,2,373855379.7,373855379.7,0,0,-4470-10,1,2,5,125,Hibernating
0.0279,2339134.3,1,369835570.17,369835570.17,0,0,-4393-08,1,1,5,115,Lost
0.1171,2399306.1,1,331264122.2,331264122.2,0,0,-4558-11,1,1,5,115,Lost
0.0811,2452439.1,2,246756947.01,246756947.01,0,0,-4555-03,1,2,5,125,Hibernating
0.0104,2455153.8,12,199995228.45,199995228.45,0,0,-4335-03,1,5,5,155,At-Risk
0.0082,2455301.2,9,196984728,196984728,0,0,-4317-05,1,5,5,155,At-Risk
0.0298,2453655.4,4,172273442.86,172273442.86,0,0,-4505-07,1,3,5,135,At-Risk
0.4803,2430588.4,1,159986806.2,159986806.2,0,0,-4643-03,1,1,5,115,Lost
0.0399,2454803.5,3,155379973.8,155379973.8,0,0,-4538-03,1,3,5,135,At-Risk
